"ANRO VARIETY STORE","BLK.4 LOT 8, PINALAD RD. QUELLY LAND HOA CENT 2-A NAGPAYONG, PINAGBUHATAN","ES3 ESSENTIAL COMMODITIES","BLK.4 LOT 8, PINALAD RD. QUELLY LAND HOA CENT 2-A NAGPAYONG","PINAGBUHATAN","14.5456855","121.1009124"
"GRAYHORNS TRANSPORTATION SERVICES","BLK.5, LOT 13 STO.TOMAS ST., STARVILLE II HOA, PINALAD CENTENNIAL 2, PINAGBUHATAN","SER TRUCKING SERVICES","BLK.5, LOT 13 STO.TOMAS ST., STARVILLE II HOA, PINALAD CENTENNIAL 2","PINAGBUHATAN","14.6170749","121.0030019"
"SANTI SARI-SARI STORE","BLK.7 LOT 1 MEGAVILLE I, EUSEBIO AVE., PINAGBUHATAN","ES3 RICE GRAIN RETAILER; SAR SARI-SARI STORE","BLK.7 LOT 1 MEGAVILLE I, EUSEBIO AVE.","PINAGBUHATAN","14.5438709","121.1049148"
"AMANLU SPACE RENTAL","BLK.8 LOT 16 KALAYAAN  AVE., NAGPAYONG 2, PINAGBUHATAN","APT LESSOR COMMERCIAL SPACE","BLK.8 LOT 16 KALAYAAN  AVE., NAGPAYONG 2","PINAGBUHATAN","14.5493464","121.099429"
"SHEISHEN SPACE RENTAL","BLK.8, LOT 18 KALAYAAN AVE., NAGPAYONG 2, PINAGBUHATAN","APT LESSOR COMMERCIAL SPACE","BLK.8, LOT 18 KALAYAAN AVE., NAGPAYONG 2","PINAGBUHATAN","14.5493464","121.099429"
"J. CAÑIZARES SECURITY & INVESTIGATION AGENCY","BLK1 LOT 21 SAN JUAN ST. NAGPAYONG 1, PINAGBUHATAN","SCA SECURITY AGENCY","BLK1 LOT 21 SAN JUAN ST. NAGPAYONG 1","PINAGBUHATAN","14.5453574","121.0976494"
"RMR INDUSTRIAL GAS AND AIR PRODUCT CENTER","BLK17 LOT6 VILLA CUANA, PINAGBUHATAN","FIX STORAGE(FLAMMABLES); RET RETAILER","BLK17 LOT6 VILLA CUANA","PINAGBUHATAN","14.5486125","121.1045207"
"RORICS SPACE LEASING","BLK3 LOT 4 PINALAD RD. COR., MERCURY ST. CENT. 2, PINAGBUHATAN","APT LESSOR COMMERCIAL SPACE","BLK3 LOT 4 PINALAD RD. COR., MERCURY ST. CENT. 2","PINAGBUHATAN","14.5571041","121.0935184"
"GRACEFULL WATER REFILLING STATION","BLK4, LOT65 IPIL-IPIL EUSEBIO AVE., PINAGBUHATAN","RET WATER REFILLING STATION","BLK4, LOT65 IPIL-IPIL EUSEBIO AVE.","PINAGBUHATAN","14.5414625","121.1055607"
"E. C. SANTOS TENT DEPOT","BLK6 LOT25 MANGG ILOILO ST., PINAGBUHATAN","SER RENTAL/CHAIRS & TABLE","BLK6 LOT25 MANGG ILOILO ST.","PINAGBUHATAN","10.7301854","122.5591148"
